Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,0,66,69,after_training,after_training,0.55743201,binary,3
Between_Epochs,0,48,51,after_training,after_training,0.55711780,binary,3
Between_Epochs,0,51,54,after_training,after_training,0.55793985,binary,3
Between_Epochs,0,63,66,after_training,after_training,0.55985324,binary,3
Between_Epochs,0,78,81,after_training,after_training,0.55789147,binary,3
Between_Epochs,0,75,78,after_training,after_training,0.55871433,binary,3
Between_Epochs,0,84,87,after_training,after_training,0.55714197,binary,3
Between_Epochs,0,72,75,after_training,after_training,0.55873854,binary,3
Between_Epochs,0,87,90,after_training,after_training,0.55854484,binary,3
Between_Epochs,0,81,84,after_training,after_training,0.55670711,binary,3
Between_Epochs,0,93,96,after_training,after_training,0.55760125,binary,3
Between_Epochs,0,90,93,after_training,after_training,0.55743201,binary,3
Between_Epochs,0,99,102,after_training,after_training,0.55781890,binary,3
Between_Epochs,0,108,111,after_training,after_training,0.55622421,binary,3
Between_Epochs,0,105,108,after_training,after_training,0.55764962,binary,3
Between_Epochs,0,96,99,after_training,after_training,0.55762543,binary,3
Between_Epochs,0,102,105,after_training,after_training,0.55755290,binary,3
Between_Epochs,0,111,114,after_training,after_training,0.55883541,binary,3
Between_Epochs,0,114,117,after_training,after_training,0.55750454,binary,3
Between_Epochs,0,117,120,after_training,after_training,0.55482551,binary,3
Between_Epochs,0,123,126,after_training,after_training,0.55728698,binary,3
Between_Epochs,0,126,129,after_training,after_training,0.55530754,binary,3
Between_Epochs,0,129,132,after_training,after_training,0.55723864,binary,3
Between_Epochs,0,120,123,after_training,after_training,0.55624835,binary,3
Between_Epochs,0,132,135,after_training,after_training,0.55781890,binary,3
Between_Epochs,0,135,138,after_training,after_training,0.55806081,binary,3
Between_Epochs,0,138,141,after_training,after_training,0.55690035,binary,3
Between_Epochs,0,141,144,after_training,after_training,0.55620008,binary,3
Between_Epochs,0,147,150,after_training,after_training,0.55719030,binary,3
Between_Epochs,0,153,156,after_training,after_training,0.55448827,binary,3
Between_Epochs,0,144,147,after_training,after_training,0.55866590,binary,3
Between_Epochs,0,159,162,after_training,after_training,0.55641734,binary,3
Between_Epochs,0,156,159,after_training,after_training,0.55574162,binary,3
Between_Epochs,0,150,153,after_training,after_training,0.55525932,binary,3
Between_Epochs,0,162,165,after_training,after_training,0.55948958,binary,3
Between_Epochs,0,165,168,after_training,after_training,0.55825439,binary,3
Between_Epochs,0,168,171,after_training,after_training,0.55673126,binary,3
Between_Epochs,0,174,177,after_training,after_training,0.55651392,binary,3
Between_Epochs,0,171,174,after_training,after_training,0.55603114,binary,3
Between_Epochs,0,177,180,after_training,after_training,0.55774635,binary,3
Between_Epochs,0,183,186,after_training,after_training,0.55748036,binary,3
Between_Epochs,0,186,189,after_training,after_training,0.55827859,binary,3
Between_Epochs,0,180,183,after_training,after_training,0.55571750,binary,3
Between_Epochs,0,189,192,after_training,after_training,0.55755290,binary,3
Between_Epochs,0,192,195,after_training,after_training,0.55716614,binary,3
Between_Epochs,0,195,198,after_training,after_training,0.55583811,binary,3
Between_Epochs,1,0,3,after_training,after_training,0.55609468,binary,3
Between_Epochs,1,3,6,after_training,after_training,0.55653040,binary,3
Between_Epochs,1,6,9,after_training,after_training,0.55585272,binary,3
Between_Epochs,1,15,18,after_training,after_training,0.55779051,binary,3
Between_Epochs,1,9,12,after_training,after_training,0.55653040,binary,3
Between_Epochs,1,12,15,after_training,after_training,0.55594949,binary,3
Between_Epochs,1,18,21,after_training,after_training,0.55747529,binary,3
Between_Epochs,1,21,24,after_training,after_training,0.55677257,binary,3
Between_Epochs,1,27,30,after_training,after_training,0.55418524,binary,3
Between_Epochs,1,24,27,after_training,after_training,0.55546574,binary,3
Between_Epochs,1,30,33,after_training,after_training,0.55665147,binary,3
Between_Epochs,1,39,42,after_training,after_training,0.55394387,binary,3
Between_Epochs,1,36,39,after_training,after_training,0.55689368,binary,3
Between_Epochs,1,33,36,after_training,after_training,0.55910125,binary,3
Between_Epochs,1,42,45,after_training,after_training,0.55924702,binary,3
Between_Epochs,1,45,48,after_training,after_training,0.55674835,binary,3
